scene	frames	prompts	refs	title
2	243	02_the-drone-descends-v1.txt 02_the-drone-descends-v2.txt 02_the-drone-descends-v3.txt	2-6	the drone descends
3	243	03_swimming-for-the-bank-v1.txt 03_swimming-for-the-bank-v2.txt 03_swimming-for-the-bank-v3.txt	2-6	swimming for the bank
4	243	04_hauling-out-v1.txt 04_hauling-out-v2.txt 04_hauling-out-v3.txt	2-6	hauling out
5	243	05_rolling-onto-his-back-v1.txt 05_rolling-onto-his-back-v2.txt 05_rolling-onto-his-back-v3.txt	2-6	rolling onto his back
6	243	06_the-glassy-stare-v1.txt 06_the-glassy-stare-v2.txt 06_the-glassy-stare-v3.txt	2-6	the glassy stare
7	243	07_skin-in-the-sun-v1.txt 07_skin-in-the-sun-v2.txt 07_skin-in-the-sun-v3.txt	2-6	skin in the sun
8	243	08_licking-his-own-eye-v1.txt 08_licking-his-own-eye-v2.txt 08_licking-his-own-eye-v3.txt	2-6	licking his own eye
9	243	09_he-looks-at-the-coop-v1.txt 09_he-looks-at-the-coop-v2.txt 09_he-looks-at-the-coop-v3.txt	2-6	he looks at the coop
13	243	13_focus-back-to-the-frog-v1.txt 13_focus-back-to-the-frog-v2.txt 13_focus-back-to-the-frog-v3.txt	2-6	focus back to the frog
14	243	14_he-hits-the-ground-v1.txt 14_he-hits-the-ground-v2.txt 14_he-hits-the-ground-v3.txt	2-6	he hits the ground
17	243	17_he-wipes-it-and-sets-off-v1.txt 17_he-wipes-it-and-sets-off-v2.txt 17_he-wipes-it-and-sets-off-v3.txt	2-6	he wipes it and sets off
18	243	18_the-hopping-loop-plate-v1.txt 18_the-hopping-loop-plate-v2.txt 18_the-hopping-loop-plate-v3.txt	2-6	the hopping loop plate
24	243	24_skidding-onto-the-gravel-v1.txt 24_skidding-onto-the-gravel-v2.txt 24_skidding-onto-the-gravel-v3.txt	2-6	skidding onto the gravel
25	243	25_up-the-chicken-ladder-v1.txt 25_up-the-chicken-ladder-v2.txt 25_up-the-chicken-ladder-v3.txt	2-6	up the chicken ladder
